algorithms|ALGORITHM_LIBRARY.js|ALGORITHM_LIBRARY|2213|75824|/**
algorithms|COMPLETE_TOOLPATH_ALGORITHM_LIBRARY.js|COMPLETE_TOOLPATH_ALGORITHM_LIBRARY|2213|75866|/**
algorithms|PRISM_ACO_SEQUENCER.js|PRISM_ACO_SEQUENCER|5383|201570|/**
algorithms|PRISM_ADVANCED_INTERPOLATION.js|PRISM_ADVANCED_INTERPOLATION|176|6883|/**
algorithms|PRISM_ALGORITHM_ENSEMBLER.js|PRISM_ALGORITHM_ENSEMBLER|182|6536|/**
algorithms|PRISM_ALGORITHM_ORCHESTRATOR.js|PRISM_ALGORITHM_ORCHESTRATOR|225|9464|/**
algorithms|PRISM_ALGORITHM_REGISTRY.js|PRISM_ALGORITHM_REGISTRY|3567|154414|/**
algorithms|PRISM_ALGORITHM_STRATEGIES.js|PRISM_ALGORITHM_STRATEGIES|257|10552|/**
algorithms|PRISM_BEZIER_MIT.js|PRISM_BEZIER_MIT|111|3466|/**
algorithms|PRISM_CONTROL_SYSTEMS_MIT.js|PRISM_CONTROL_SYSTEMS_MIT|117|3976|/**
algorithms|PRISM_CORE_ALGORITHMS.js|PRISM_CORE_ALGORITHMS|616|21100|/**
algorithms|PRISM_CRITICAL_ALGORITHM_INTEGRATION.js|PRISM_CRITICAL_ALGORITHM_INTEGRATION|188|9309|/**
algorithms|PRISM_DFM_MIT.js|PRISM_DFM_MIT|76|2731|/**
algorithms|PRISM_DIGITAL_CONTROL_MIT.js|PRISM_DIGITAL_CONTROL_MIT|101|3319|/**
algorithms|PRISM_DS_SEARCH.js|PRISM_DS_SEARCH|102|3452|/**
algorithms|PRISM_FFT_PREDICTIVE_CHATTER.js|PRISM_FFT_PREDICTIVE_CHATTER|330|12118|/**
algorithms|PRISM_GRAPH.js|PRISM_GRAPH|285|9443|/**
algorithms|PRISM_GRAPHICS.js|PRISM_GRAPHICS|660|21823|/**
algorithms|PRISM_GRAPHICS_KERNEL_PASS.js|PRISM_GRAPHICS_KERNEL_PASS|171|6329|/**
algorithms|PRISM_GRAPHICS_MIT.js|PRISM_GRAPHICS_MIT|276|10308|/**
algorithms|PRISM_GRAPH_ALGORITHMS.js|PRISM_GRAPH_ALGORITHMS|315|10492|/**
algorithms|PRISM_GRAPH_TOOLPATH.js|PRISM_GRAPH_TOOLPATH|180|6145|/**
algorithms|PRISM_JACOBIAN_ENGINE.js|PRISM_JACOBIAN_ENGINE|238|9180|/**
algorithms|PRISM_JOHNSON_COOK_DATABASE.js|PRISM_JOHNSON_COOK_DATABASE|158|8046|/**
algorithms|PRISM_KDTREE.js|PRISM_KDTREE|112|5762|/**
algorithms|PRISM_KNOWLEDGE_INTEGRATION_TESTS.js|PRISM_KNOWLEDGE_INTEGRATION_TESTS|119|5294|/**
algorithms|PRISM_LINALG_MIT.js|PRISM_LINALG_MIT|155|4634|/**
algorithms|PRISM_LOCAL_SEARCH.js|PRISM_LOCAL_SEARCH|385|13435|/**
algorithms|PRISM_LP_SOLVERS.js|PRISM_LP_SOLVERS|131|4367|/**
algorithms|PRISM_MANUFACTURING_ALGORITHMS.js|PRISM_MANUFACTURING_ALGORITHMS|101|3783|/**
algorithms|PRISM_MANUFACTURING_SEARCH.js|PRISM_MANUFACTURING_SEARCH|141|5557|/**
algorithms|PRISM_MANUFACTURING_SEARCH_ENGINE.js|PRISM_MANUFACTURING_SEARCH_ENGINE|148|5429|/**
algorithms|PRISM_MATH_FOUNDATIONS.js|PRISM_MATH_FOUNDATIONS|1730|68494|/**
algorithms|PRISM_MEMORY_EFFICIENT_SEARCH.js|PRISM_MEMORY_EFFICIENT_SEARCH|160|5321|/**
algorithms|PRISM_NUMERICAL.js|PRISM_NUMERICAL|185|5775|/**
algorithms|PRISM_NUMERICAL_METHODS_MIT.js|PRISM_NUMERICAL_METHODS_MIT|167|5142|/**
